order_ab.avgitemprice	order_ab.errormsg	order_ab.orderdate	order_ab.orderid	order_ab.startpageurl	order_ab.userid
15.0		2015-05-01	54374	http://www.test-cpc.com/favorites	123
43.099999999999994		2015-05-01	54356	http://www.test-cpc.com/favorites	124
37.06666666666667		2015-05-01	54234	http://www.test-cpc.com/favorites	123
26.866666666666664		2015-05-01	54375	http://www.test-cpc.com/	134
18.75		2015-05-01	54376	http://www.test-cpc.com/	126
14.45		2015-05-01	12094	http://www.test-cpc.com	123
16.925	-Invalid Date-		54324	http://www.test-cpc.com/	129
36.4225		2015-05-01	54374	http://www.test-cpc.com/	125
16.533333333333335		2015-05-01	54564	http://www.test-cpc.com/	126
10.33		2015-05-03	54884	http://www.test-cpc.com/favorites	127
32.3	-Invalid URL-	2015-05-01	44374		128
NaN	-Invalid URL-	2015-05-01	34374		129
36.26666666666667	-Less Columns-	2015-05-03	54004	NULL	129
15.35	-Invalid URL-	2015-05-03	54974		120
8.0	-Invalid URL-	2015-05-01	54374		345
20.835	-Invalid URL-	2015-04-01	52374		5678
10.88		2015-05-01	4374	http://www.test-cpc.com/favorites	123
13.93	-Invalid Order_Id and Date-	NULL	NULL	http://www.test-cpc.com/favorites	423
10.875	-Invalid Date-		54374	http://www.test-cpc.com/search	424
22.5		2015-05-01	549374	http://www.test-cpc.com/favorites	325
26.666666666666668		2015-05-01	54334	http://www.test-cpc.com/search	428
500.0		2015-05-01	50374	http://www.test-cpc.com/	429
